CustomerID,Name,Gender,Age,Region,Occupation,Income,Customer_Segment,Join_Date
CUST0001,Samuel Brown,Male,65,East,Trader,78513,Retail,04/05/2023
CUST0002,Sarah Perez,Male,55,West,Teacher,27811,Retail,06/14/2017
CUST0003,Linda Taylor,Male,53,South,Student,190363,Private,02/10/2021
CUST0004,Emily Davis,Female,55,East,Retired,21703,Retail,10/30/2022
CUST0005,Emily Hernandez,Female,27,South,Retired,108236,Retail,01/15/2016
CUST0006,Daniel Brown,Female,72,East,Banker,89342,Retail,03/08/2023
CUST0007,Matthew Moore,Male,42,North,Banker,96854,Private,12/08/2021
CUST0008,Daniel Ramirez,Female,54,South,Student,38233,Retail,06/01/2022
CUST0009,Linda Harris,Female,23,South,Retired,46476,Corporate,02/12/2018
CUST0010,Matthew Lee,Female,28,East,Engineer,74921,Private,12/29/2017
CUST0011,Charles Robinson,Male,56,South,Banker,84175,Retail,03/08/2020
CUST0012,Daniel Rodriguez,Male,61,East,Retired,34663,Retail,03/20/2024
CUST0013,Jane Sanchez,Female,43,East,Teacher,75307,Private,10/29/2024
CUST0014,Charles Hernandez,Male,59,West,Doctor,188519,Corporate,08/08/2016
CUST0015,Robert Jones,Male,65,East,Student,173245,Corporate,01/25/2025
CUST0016,Joseph Gonzalez,Female,32,South,Banker,149372,Retail,06/23/2023
CUST0017,Jane Ramirez,Male,27,South,Retired,198384,Corporate,09/08/2021
CUST0018,Michael Gonzalez,Female,56,West,Banker,85906,Private,08/26/2024
CUST0019,John Perez,Male,61,East,Retired,188024,Corporate,04/01/2016
CUST0020,Jennifer Wilson,Male,47,North,Student,89045,Private,07/18/2023
CUST0021,Mary Taylor,Male,73,East,Retired,187496,Private,10/30/2021
CUST0022,James Jones,Female,66,South,Banker,159029,Retail,09/19/2021
CUST0023,William Thomas,Male,25,East,Retired,100612,Retail,08/26/2015
CUST0024,Linda Lewis,Male,23,West,Retired,38143,Private,08/03/2023
CUST0025,David Jones,Female,53,South,Engineer,158326,Private,09/30/2019
CUST0026,James Robinson,Male,63,East,Doctor,196078,Private,03/10/2019
CUST0027,Matthew Lewis,Female,25,South,Trader,36784,Corporate,03/28/2015
CUST0028,Joseph Moore,Male,55,South,Teacher,38610,Private,01/28/2022
CUST0029,Jane Davis,Male,75,North,Retired,106619,Retail,10/06/2020
CUST0030,Linda Rodriguez,Female,31,South,Student,169695,Private,04/20/2020
